product_manufacturing_country,product_price_usd,warranty_period_months,customer_review_count,customer_average_rating,material_quality_score,supplier_reliability_rating,product_age_days,market_demand_index,predicted_return_rate_percent,predicted_defect_probability_percent
India,415.99019014787024,31.0,3653.0,1.028634077736486,5.0,2.83654663499677,1033.0,14.0,97.29662314823887,76.9238862989774
USA,329.5122516457861,6.0,96.0,3.4623386761367927,5.0,3.7252608922235244,361.0,84.0,43.1756605106953,33.696125848365774
Vietnam,234.6227775781769,50.0,884.0,3.6956525323558047,1.0,2.646602546192276,719.0,57.0,68.07636726558549,25.717633112355095
Mexico,467.1484606496184,28.0,529.0,3.83674020601273,4.0,3.8290029901056206,1058.0,68.0,47.0380748770085,28.50554831124877
Vietnam,417.0658118130724,29.0,3719.0,4.455781429366121,3.0,2.980683543296538,162.0,88.0,48.03219557339815,22.08708964713012
Mexico,254.66442255981,20.0,3718.0,2.267985780381222,5.0,2.9005487714232725,1051.0,51.0,73.96567389141462,57.67321509133797
USA,353.9179436826125,38.0,4745.0,1.3468225965144671,2.0,2.170276631964727,1121.0,95.0,90.83001352280951,69.75338733492876
China,287.79567656804545,47.0,3667.0,2.590818419193663,3.0,1.786127962280761,1311.0,29.0,89.55856964324181,57.76047011700795
India,298.09169681024963,43.0,4338.0,2.017227134454017,1.0,3.9464127015225885,955.0,67.0,78.04733301910724,49.372239810056115
USA,172.17827402436092,42.0,412.0,4.833287259101448,1.0,3.6972387390940478,1037.0,57.0,50.26417679056284,0.0
India,236.4214562661994,56.0,2269.0,1.803291477153559,5.0,4.555505984324536,517.0,68.0,91.92470548433401,52.30940767299677
Germany,48.27950108697466,40.0,1054.0,3.799570669169654,4.0,4.040488484705286,543.0,59.0,54.75824955109974,16.293986339652772
China,185.10085891565032,38.0,1888.0,4.689363191511495,4.0,0.8318488176997205,783.0,38.0,68.82002366865049,31.305914087106153
China,350.95597252745443,19.0,3703.0,3.677660717293757,3.0,4.793536115628891,172.0,26.0,50.548347210647364,3.6662643238095214
USA,477.0758549480313,21.0,871.0,1.2655770978078116,5.0,3.8731597215565725,727.0,47.0,82.81721365969901,68.19660977616718
China,481.9014152538799,28.0,3139.0,4.70449047031981,2.0,2.056359741258202,892.0,87.0,49.33955867206711,22.794492721411558
Mexico,282.3042058711969,45.0,2832.0,1.5923738692024498,1.0,3.4027542932397794,493.0,72.0,87.21324370178078,56.805680541471524
China,307.2449033866952,3.0,1505.0,1.7991127187561249,5.0,3.9390415276110367,1243.0,47.0,60.69275065882992,47.70903495118721
India,101.00338089547408,2.0,95.0,3.9152630195617846,2.0,1.1147039355454238,382.0,56.0,41.800149206684864,43.345110776737215
India,350.70097296583003,8.0,224.0,2.9706356530090203,1.0,4.84752282216884,617.0,85.0,43.29187085171524,29.078727503660776
India,44.62280841044926,4.0,1572.0,4.112054592012388,4.0,3.427706284802504,191.0,99.0,34.32637270036142,22.266240059794338
India,149.49598604172783,55.0,4830.0,1.6577685467369534,3.0,0.589830386027432,393.0,7.0,100.0,71.89320189174492
Mexico,337.49804016986667,2.0,3417.0,4.426639857492664,2.0,2.990311793810103,237.0,29.0,30.976248707065764,21.546457614527494
Vietnam,162.05196445630975,24.0,4318.0,2.2167239386410444,5.0,1.373807266815456,296.0,5.0,83.66311281584312,63.85785674827139
Germany,34.42496831608261,31.0,1701.0,3.0853867804037782,4.0,1.6299793308915689,683.0,81.0,63.97754581337931,54.0820051591688
USA,417.6165005819723,32.0,3819.0,1.4541910248859673,5.0,0.8101027638948322,1427.0,75.0,95.40836893253115,86.50051910464096
India,162.0617034959359,17.0,137.0,2.4042899880634367,3.0,2.3783717356679874,1003.0,18.0,67.14392493947209,41.36089682000317
China,40.92156018075242,44.0,2375.0,2.4417104120227364,3.0,1.6907577401260867,1079.0,0.0,88.54928700813498,52.88851901622306
India,46.64620060640394,35.0,2925.0,4.867412547983932,2.0,4.264171112996506,1208.0,21.0,44.88802354188516,0.0
China,133.36181140648927,49.0,4690.0,4.324075440471114,3.0,4.372836684191119,613.0,95.0,61.349044389749125,17.905337204320418
Germany,97.22781413854786,40.0,4635.0,1.2311827576417316,3.0,0.620994891994807,1152.0,43.0,100.0,83.75865336718297
Germany,389.4070577122739,28.0,3780.0,2.1426029265371036,5.0,3.9767740801679174,1057.0,14.0,66.49721684171644,51.550287645753734
Germany,167.62518286684687,38.0,2681.0,1.8268980876469114,2.0,0.6741536525627836,1283.0,79.0,93.03421816909103,86.19114552646369
China,404.3009346695179,46.0,4435.0,2.2756104269965864,3.0,2.5118737096873947,280.0,24.0,93.66023136265976,64.97729174454157
India,95.18453893334487,44.0,1537.0,1.052460829649791,1.0,0.9691961952168128,330.0,46.0,100.0,85.40499287179145
Germany,251.51079797660105,1.0,3337.0,4.128433127579804,4.0,3.023915181564877,1314.0,49.0,25.246194156148444,25.578839495928094
Mexico,347.13819544103313,10.0,865.0,1.5535444052404728,3.0,4.802344780524697,1410.0,64.0,70.1196272205478,52.127626614634096
China,329.4755183942689,58.0,397.0,1.8109036998732364,3.0,1.537819112334836,617.0,31.0,91.5828970706623,75.38275379757408
China,304.55341086583167,30.0,4809.0,3.6243222893130658,3.0,4.27785299831453,465.0,64.0,58.31260322970402,12.435666679724058
India,463.1625849462732,3.0,2405.0,3.5217355725123083,4.0,4.026453293838858,1418.0,90.0,40.1608236478523,29.677809387319204
China,121.97732237630474,28.0,2847.0,4.304587345871059,5.0,3.9198330015789953,523.0,96.0,33.26272442612213,15.204585494888363
China,251.92241018643165,53.0,180.0,1.5483406958898223,2.0,1.700314083431306,1001.0,80.0,100.0,66.69084332963551
Germany,443.1563495354803,49.0,1159.0,1.8803238343620112,2.0,3.2882128029185647,670.0,10.0,85.98342273662307,51.99623703280272
India,48.16794514162695,56.0,202.0,4.50486792229526,2.0,0.8845970792118413,390.0,40.0,62.913305629620716,29.741235665229024
Germany,37.38525144400687,2.0,4879.0,3.664541633021913,2.0,2.676276920932273,,81.0,40.90393442848148,35.54654486510595
Germany,124.31812090356279,1.0,1879.0,1.3157932243826407,2.0,4.639775045676539,856.0,57.0,51.34585489286455,55.04352794285156
India,320.1803975736291,43.0,2180.0,1.375941008817534,1.0,2.802638667826918,1400.0,62.0,82.35194983475239,67.5688731995202
USA,137.34101696040537,35.0,1120.0,3.1336299605392157,5.0,0.651700237788384,130.0,28.0,72.78924832514576,51.864808228424785
Germany,103.21754306631149,13.0,3958.0,4.00259645342002,5.0,3.6423209510480414,225.0,42.0,49.72801834660523,23.641742186304345
Mexico,234.81313452556313,47.0,93.0,3.5734071581164204,3.0,4.426713828084226,441.0,27.0,67.03374603146221,20.542204674104482
Mexico,310.6630536970116,52.0,1039.0,3.7118949395630065,4.0,1.3873500510659513,441.0,93.0,60.38173836651164,37.07760970005852
China,131.79327643820278,3.0,473.0,3.2879613103552474,2.0,1.2104967814261358,679.0,76.0,50.56425113118077,46.44389818511555
Mexico,157.33868149463362,43.0,210.0,4.52543024582695,2.0,0.6266516875778309,1338.0,21.0,66.82678405273313,31.768588536057088
China,310.6440593576418,29.0,2490.0,4.5876600405552725,5.0,3.930885473019369,572.0,33.0,40.43421920313374,9.946151974486032
USA,473.4118267748318,18.0,98.0,3.422297596431672,5.0,4.60279472105797,1208.0,28.0,42.50087060228675,29.104586168819324
India,340.6234464446632,18.0,4115.0,3.9251557979800054,4.0,2.699621721246112,459.0,78.0,47.029072986827785,28.88937782042547
India,393.62303035643436,43.0,20.0,2.8498116425999855,4.0,1.7501170598395808,232.0,45.0,88.58619450713542,55.55380294627885
India,189.7369464301797,30.0,560.0,2.077330691652045,4.0,4.66266501122395,589.0,51.0,54.65096525595816,42.52957457923914
Mexico,143.40463609838838,14.0,3343.0,3.5449963394782595,2.0,1.3930441378088556,1427.0,92.0,60.014958608394565,52.943036136381245
USA,232.59119416928505,28.0,107.0,4.260521197429705,5.0,2.4058217019294292,293.0,12.0,45.66791595655948,27.980970161627
Mexico,405.4950860687201,2.0,4931.0,2.050320188981898,1.0,4.569093073048449,579.0,9.0,59.9260537684934,47.61896282047886
Mexico,233.58682447737235,18.0,2071.0,3.5037097098911585,4.0,4.9450575907752485,99.0,63.0,38.51435520002177,18.27620394661418
USA,424.8954503070319,21.0,2823.0,3.490203120502127,4.0,1.6907812724188465,627.0,37.0,56.68150860605948,49.39356497803828
USA,494.4982705406123,46.0,1771.0,4.67526041980434,5.0,4.7814015647883625,801.0,10.0,55.674798695253074,5.507204345937077
USA,45.293066207864804,19.0,2500.0,4.037134228184067,1.0,2.6669973827883213,444.0,72.0,53.33714503658419,28.838124673677655
USA,32.25097648101481,54.0,1642.0,4.245232168688973,2.0,3.361899786715295,747.0,90.0,66.15557059916813,13.065416016803514
India,83.29895442754729,6.0,2162.0,3.283753534987939,2.0,3.919360312155064,930.0,21.0,42.57575375569257,24.141653678900646
Vietnam,198.34114110982964,3.0,951.0,3.910784841624032,1.0,2.1712983566412856,92.0,1.0,41.061882191941656,24.14766084746519
Vietnam,74.21068248126188,0.0,2667.0,1.9792488180087218,2.0,4.25574086321023,319.0,62.0,58.890348644378385,37.50126152954922
USA,436.62559403319045,40.0,1608.0,3.318664159084165,2.0,4.653733231979348,1046.0,53.0,57.42532094168203,23.5655674998456
Vietnam,21.341663003261264,6.0,3733.0,3.649204634863222,4.0,3.928685101618381,853.0,88.0,29.967403825997444,21.46158499447034
Vietnam,164.73843100455304,21.0,4873.0,4.335207129251397,3.0,1.0250589680930982,1350.0,56.0,62.67470186779687,38.23817500586933
USA,100.50036845216061,36.0,2643.0,1.6628072441920487,5.0,0.7400239720157844,1317.0,40.0,96.16346747112708,66.9382512445217
Vietnam,466.45427177719085,56.0,3173.0,2.307027433732382,4.0,1.8564530993614945,175.0,67.0,88.78956179694302,61.475850475117376
Mexico,338.0456923961137,29.0,4361.0,4.1657410238551495,5.0,3.978783059860768,1092.0,16.0,45.77115266255973,18.62433720896916
China,456.8948256611735,8.0,4178.0,2.736941252381295,3.0,4.362643726477078,481.0,58.0,53.090263829499825,42.67783799447696
China,486.44106805209276,57.0,4341.0,2.937771625077693,5.0,2.344752926126106,1213.0,23.0,83.85622545003619,47.80820675300885
USA,253.5781394019109,26.0,810.0,3.477144224423568,1.0,1.0549301990046887,520.0,42.0,80.07811587745337,37.35584386816848
India,124.81636294353287,37.0,1010.0,3.9088385253537674,4.0,3.8596582013557574,123.0,18.0,52.36658559152187,25.435349419431933
USA,104.92710523632876,55.0,4766.0,2.153142037877971,4.0,4.284838647394661,85.0,83.0,73.24612671247954,34.845586392553365
India,119.23024222606186,22.0,1850.0,4.455679171135385,3.0,0.9916265196352485,1.0,8.0,55.958849021240695,19.816281197777172
China,357.21072073478143,11.0,1141.0,2.456710521498507,1.0,2.411288698256358,395.0,8.0,56.36077779702818,50.81819509601721
USA,29.81840678027036,12.0,4723.0,2.0434884922134837,2.0,3.3900629597564085,4.0,96.0,70.78991389532001,51.69016200972196
Germany,35.16692578603028,32.0,706.0,3.798232837080381,3.0,3.8912108510607313,878.0,7.0,45.51577176794196,13.558207196587746
Mexico,307.9900417677435,14.0,4030.0,2.439450019923921,5.0,4.7773811927152865,897.0,41.0,54.369905006069644,38.14464246251281
Vietnam,324.6080019013292,15.0,4076.0,3.0254098265053067,3.0,1.400491547349353,1079.0,36.0,67.65299133211126,60.33612644278701
India,335.9788329180054,33.0,3908.0,2.321198965207545,1.0,4.591802677537677,623.0,0.0,58.81200196937792,33.31876672265047
Germany,192.2214472484097,8.0,4294.0,4.413921214707493,4.0,4.3179667504556045,597.0,96.0,35.20337928949668,7.629971773922095
Vietnam,404.912995469935,41.0,766.0,2.9986394814950996,5.0,2.7617290013643654,1400.0,43.0,66.36404606612878,47.1233174271245
Vietnam,271.4760479860426,51.0,1100.0,1.2616651203069793,2.0,3.163368264642993,723.0,90.0,100.0,64.90239676669388
USA,61.67815870461553,26.0,1470.0,1.2268327281646876,2.0,3.650319100582198,351.0,3.0,78.82650099922203,49.056938035131154
Vietnam,400.57866046299915,47.0,3497.0,2.4593232575588764,2.0,4.534568524602731,448.0,57.0,74.39991282443359,36.75098402574392
Mexico,477.0032152725246,14.0,1694.0,2.6304012655570648,1.0,2.998631839292009,224.0,88.0,57.990608037689924,49.117655854318045
Germany,39.41779337115575,34.0,2225.0,1.149533722351805,4.0,1.479634060621288,542.0,79.0,95.60590001867858,69.24494563980318
Vietnam,201.76215596328416,33.0,1472.0,4.409760452066582,4.0,2.4230076436040773,1135.0,71.0,53.87477489095364,24.055242371506598
USA,248.88286196902635,39.0,1189.0,3.0263401177018907,3.0,1.9943221523662786,1289.0,53.0,73.16215642759073,53.34872723508502
Mexico,81.7706724383753,29.0,1888.0,3.1914125851180724,1.0,4.771689497390386,1305.0,82.0,52.398912335825024,18.976241168959703
China,435.1773844136098,47.0,4393.0,3.607215360614053,1.0,0.9565592444963777,1386.0,68.0,91.90679945002434,56.06196191204355
Germany,149.23332599612158,22.0,4475.0,1.8703301419024698,5.0,2.5938016031492572,465.0,69.0,77.46619548764338,58.048324248861675
Vietnam,393.67418456969847,8.0,166.0,3.0917163825051004,2.0,4.945681244473518,616.0,13.0,45.66135864256215,24.542558033059347
USA,338.78729619387485,31.0,3625.0,1.8914386083078636,2.0,2.7706671823000275,1058.0,40.0,81.67186867434633,54.016434747475316
China,303.0424530088415,34.0,2409.0,2.6611592931390162,3.0,2.461211419524859,190.0,20.0,69.38402574207099,48.48589684965907
China,104.14999586131165,48.0,4936.0,3.507349831069342,2.0,3.4851062707379254,1227.0,55.0,52.74561502135445,25.268385607261056
India,118.14472506994379,31.0,3525.0,1.9434383053541793,2.0,1.5132221460385835,435.0,85.0,94.40098743811419,59.65773541243922
Mexico,33.20071832581897,44.0,4599.0,4.534312125419149,2.0,4.310070742762117,405.0,90.0,49.552209962081626,8.932808890405978
Vietnam,127.94909059331052,15.0,2806.0,2.174791579996476,4.0,2.6418997191053797,156.0,97.0,68.38112296209498,52.18051476814234
USA,179.2673686356519,31.0,4552.0,2.214986321648904,3.0,2.359160333828215,3.0,0.0,73.85443656556,56.073124250886906
India,418.24119889258844,24.0,858.0,4.684544588848576,2.0,2.4107234637379147,577.0,70.0,42.61665863232119,24.196214817989752
Mexico,189.5324066902546,29.0,924.0,2.5567833155926416,1.0,3.5733739207863113,325.0,55.0,74.16035686821196,43.08181232937109
India,379.76467355514717,36.0,4803.0,1.546164740364596,1.0,3.457537911254207,745.0,98.0,87.6979235290885,71.78998384263689
Germany,225.32671783478892,36.0,1688.0,2.7102423567752627,1.0,2.8040605820072173,57.0,74.0,55.49625597569665,39.96174033440795
Mexico,394.5854728770053,34.0,1807.0,2.3561897573229493,5.0,3.1829153689205842,1204.0,71.0,81.34987546451568,55.08504260335135
Mexico,488.3730842141495,44.0,2232.0,2.980547531587333,1.0,4.398409456679124,243.0,60.0,61.0060017785076,41.747693437653574
Vietnam,127.52236344821426,7.0,417.0,3.4506855863871695,2.0,4.133648621761006,545.0,28.0,49.247835290214866,24.783757699089247
Mexico,432.5473898622993,39.0,714.0,2.3186873168853763,1.0,2.8476514121307854,1176.0,3.0,72.8139237759187,52.30933756330364
India,314.6938022898296,48.0,2824.0,3.8448694738675964,1.0,4.693594396068347,1218.0,31.0,60.35299215521764,10.115341786183587
Mexico,410.47418817844084,46.0,4890.0,2.2111105156751174,3.0,2.572034634997975,751.0,29.0,84.1676890163902,52.361745126332664
Vietnam,329.27709211122453,35.0,122.0,4.35463147084935,5.0,1.8888792842503515,154.0,17.0,53.41237250311388,28.90588761380559
Vietnam,217.73525856433358,53.0,3308.0,4.848397950802931,2.0,1.2112005746421324,296.0,45.0,63.23821871965901,32.24860676523634
Germany,121.75672032647728,24.0,3515.0,1.054715970818548,4.0,1.5102723263584361,1365.0,56.0,96.27913892539529,78.63140404641047
India,44.31726041227086,17.0,1450.0,1.4657821470712458,2.0,3.545945187260787,541.0,12.0,74.48054927351205,56.512585346351436
China,272.4039985857513,38.0,60.0,3.040238333460874,3.0,3.0955524268255292,1216.0,14.0,66.83800812586003,35.256025335831986
China,495.2597863181641,9.0,2959.0,3.492046095498495,2.0,1.0890424994451153,675.0,70.0,63.954070821062075,52.6531785217796
Mexico,371.6404844569611,0.0,4187.0,4.642328753272055,2.0,2.651241971296093,923.0,0.0,37.470499368096554,25.92815554687919
Germany,170.39931528551813,57.0,897.0,3.5219884150847265,4.0,1.1912870404063882,611.0,6.0,83.69805878708695,50.36995137522836
USA,415.3303520425003,3.0,4329.0,4.457184631362165,3.0,2.321282221576128,1098.0,84.0,46.26494904656092,24.28960793577088
Mexico,386.8021600864392,25.0,969.0,3.0893870705295754,3.0,1.5936908964734493,208.0,12.0,80.63740023389947,56.87197713252793
Germany,148.00153874319383,10.0,2578.0,3.7585378931819187,2.0,2.6989311209161566,43.0,33.0,44.53666603251747,30.71190813293025
India,17.010669999174993,14.0,787.0,4.69405337643751,2.0,4.384671654029352,291.0,85.0,29.585615438418216,6.845582035924099
India,67.8996928816353,31.0,1019.0,3.709886029700406,5.0,1.839627304129992,1023.0,33.0,61.73437066827713,35.962025519427826
India,439.8800332529082,14.0,1653.0,2.9306398919594367,4.0,4.877337068274249,696.0,99.0,44.600369282129144,37.09842410437593
India,419.9158872993872,27.0,1260.0,3.3715098575560223,1.0,2.745026748493977,895.0,24.0,64.77036058924018,36.005424655496114
India,154.6524104303976,22.0,3762.0,2.7211709074828923,1.0,1.2838956318806614,1088.0,75.0,75.10824997779909,51.811564411101266
Germany,149.745758879366,2.0,3362.0,1.6002007725240972,5.0,3.501640337586598,312.0,17.0,63.488023818933605,51.608449361319096
Germany,398.5038436802108,50.0,2671.0,4.080624493438707,1.0,4.399996199568953,62.0,42.0,52.83414299340474,15.014459630122976
Vietnam,469.4913602487568,31.0,2289.0,2.6578152592599946,3.0,2.6549013531927423,1087.0,6.0,76.61264082747869,45.94941671924493
China,391.77725583082395,19.0,4387.0,1.3791030406427525,2.0,4.509400356091138,1006.0,9.0,63.99638632141278,55.66831572478987
India,306.73355174507316,55.0,2484.0,3.815914959844458,1.0,3.9755277033657004,357.0,98.0,59.35330950089404,24.95907648962095
USA,128.9089616625842,13.0,759.0,4.056188590090505,2.0,1.014526711284225,191.0,23.0,58.327941981086134,43.54374564154421
Germany,267.61647790667774,34.0,3125.0,1.4211030223594467,4.0,4.347396472754809,1203.0,16.0,83.60403203276918,59.049162949268364
USA,124.42081071069967,39.0,4145.0,2.823491476049852,5.0,1.0138463177919845,336.0,15.0,83.40683911033298,55.88536803254418
USA,405.92559584741906,41.0,2841.0,2.92512467949497,2.0,2.2351185530580873,310.0,34.0,74.92075469193949,55.95418612875026
USA,199.61092896369126,8.0,2846.0,1.9380403440144476,3.0,4.690664311091394,731.0,3.0,72.76849555119182,48.036508377095764
Vietnam,418.51163632707284,59.0,3584.0,4.19668642160404,3.0,1.7099665743963754,318.0,46.0,73.23589308111127,36.44547740213472
Germany,196.9885168115354,55.0,2006.0,3.1230115023059017,4.0,0.5421043565954589,719.0,49.0,85.0806018279529,61.52871495356044
USA,413.83320854794675,46.0,3248.0,3.2893056620042755,2.0,2.422360840425939,1128.0,29.0,76.38204813027464,43.81354564262784
India,173.32572943096855,23.0,2706.0,2.431900237218164,5.0,4.736096559382973,15.0,72.0,57.85332285188542,41.97740575758439
Mexico,225.66502526265822,40.0,2872.0,1.9820083269985447,5.0,2.4100608965373134,698.0,43.0,77.17499351872715,52.71295355430728
USA,311.5893254779022,3.0,2237.0,4.208689634688422,5.0,0.9834457917961128,1312.0,81.0,45.50716730839588,42.51454328331101
Vietnam,44.440930874660154,11.0,1483.0,3.1316848288276193,3.0,2.3887956368270507,232.0,62.0,67.67152964863567,40.17135695611688
Germany,474.62146028957756,50.0,4870.0,1.9635471784054723,3.0,4.940452187455261,1232.0,58.0,82.19321148849535,47.528872062292685
Vietnam,291.06683520066355,23.0,1011.0,2.7044108882071027,4.0,1.408630816745535,1138.0,75.0,77.59738501538322,68.5728434591825
USA,258.83180719849315,0.0,296.0,3.223174062289345,3.0,4.611487896657721,1374.0,16.0,41.1779076135342,19.40615530658141
Germany,421.30304584875694,13.0,1775.0,3.220628744790933,1.0,1.0335928421741176,106.0,7.0,62.29134286470612,58.32602350633327
Mexico,434.2237376494455,30.0,10.0,3.230932768123882,1.0,0.9837682606545322,1065.0,76.0,78.92694556229219,52.99455245783351
USA,265.90759821921785,9.0,3248.0,1.6764296979763293,5.0,0.717285097443932,134.0,21.0,80.26906510174031,79.84372332984833
Vietnam,464.3585396388823,32.0,4907.0,3.219452887512097,4.0,1.2233689146944573,498.0,60.0,71.26445405387375,61.97868360294335
China,41.72150537747551,35.0,3213.0,2.382992952493698,5.0,4.738989120972401,163.0,50.0,70.95281221907693,33.678377881063355
India,65.48063820309659,41.0,2566.0,3.2683485993031214,5.0,4.196102097379064,91.0,39.0,58.24654203112245,21.461324841416243
Vietnam,302.42623270707566,34.0,4539.0,3.6659530957963047,3.0,2.000856648913888,16.0,67.0,81.0825425015837,43.55019535750376
Germany,183.492272278856,57.0,3607.0,1.921861613490011,1.0,1.1267759433744189,1421.0,12.0,100.0,72.1426547943087
USA,237.47033143270744,47.0,899.0,1.482465226341652,4.0,3.023935483136966,994.0,75.0,91.11737166980642,66.91533952599013
India,170.7588167696116,17.0,3005.0,3.4175930860347385,1.0,1.0553705689012614,154.0,62.0,77.07634967505169,47.85850011136534
USA,208.31540260801845,24.0,1030.0,3.7720583566510966,3.0,3.5344951022059306,1164.0,93.0,47.99640668507365,21.647758052286367
Germany,413.09671010168677,11.0,4533.0,4.463706518476188,3.0,4.474618053604429,19.0,23.0,24.919919988276895,14.901919832033746
USA,300.80333792860927,59.0,1480.0,1.984006551967663,2.0,2.85432928238428,510.0,8.0,100.0,54.18893929519492
China,498.6988291489141,27.0,1761.0,1.4957592115795846,3.0,1.5434558855803089,1094.0,62.0,99.22754259856804,81.78497561842376
India,395.57080693227186,52.0,4958.0,4.893840222498389,3.0,1.9158213827753725,1417.0,96.0,65.27847029445195,25.632216786689554
India,144.09646450989507,50.0,614.0,1.1600493028232455,1.0,2.218936055147611,800.0,26.0,97.87058743639578,76.70814078288623
Germany,139.52910768608115,8.0,4198.0,2.664718923729277,4.0,4.820864070099665,589.0,53.0,46.78739223792736,28.238794914200305
China,174.5901523573335,23.0,4755.0,2.9735921688744784,1.0,4.369893039862983,1231.0,30.0,52.0711071726551,34.40462957355622
Vietnam,423.19714551739395,19.0,1209.0,3.842984766702837,1.0,2.9556719414426027,492.0,59.0,52.44990337917299,32.2391655304877
